package	metadata_names	description	license	status	registered_module	binding_flag	configuration_file	delivery	implementation_evidence	python_stub_status	docstring_status	test_status	missing_apis_or_deficiencies	blocker	evidence_state
Apollonius_graph_2	Apollonius_graph_2	This package offers a dynamic algorithm for the construction of the Apollonius graph in 2D which is the dual of the Apollonius diagram (also known as the Additively weighted Voronoi diagram).	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Apollonius_graph_2.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Arithmetic_kernel	Arithmetic_kernel	An Arithmetic_kernel is required to provide at least the following public types: Integer, Rational, Bigfloat_interval. It is guaranteed that these types are interoperable. Currently there are: Gmp_arithmetic_kernel CORE_arithmetic_kernel LEDA_arithmetic_kernel Moreover, the package provides a class template Get_arithmetic_kernel<T>. This class provides the corresponding Arithmetic_kernel for T. Note that T may also be a non trivial type such as Sqrt_extension, Polynomial etc.	LGPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 1 public header(s) owned by this package from 1 binding source/header file(s). Included headers: CGAL/Get_arithmetic_kernel.h. Binding files: src/libs/cgalpy/lib/export_kernel_algebraic.cpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	No dedicated package JSON documentation input or standalone generated Python documentation module was identified.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Arrangement_on_surface_2	Arrangement_on_surface_2	Representation, construction, and maintenance of planar arrangements	GPL (v3 or later)	PARTIAL	Aos2	CGALPY_ARRANGEMENT_ON_SURFACE_2_BINDINGS	cmake/modules/arrangement_on_surface_2_options.cmake	Registered Aos2 module with a verified arrangement_on_surface_2_options configuration file and active selector. Ten geometry-traits families are supported through separate compile-time variants. Curve data, consolidated curve data, counting and tracing traits, extended DCEL records, arrangement history and point-location bindings are additional compile-time choices. Fifteen representative preserved macOS arm64 builds each contain a CPython 3.12 extension, wheel, build-tree Aos2 stub, wheel-packaged Aos2 stub and generated docstrings. Seven representative extensions imported successfully, but no current-HEAD Aos2 rebuild was performed and the artifact metadata does not record a source commit.	Current source exports Arrangement_on_surface_2 and planar Arrangement_2 variants where applicable, arrangements with history, vertices, halfedges, faces, observers, overlays, arrangement I/O, insertion, removal, decomposition, zone, drawing and four point-location classes. Traits-specific exporters cover algebraic, Bezier, circle-segment, conic, geodesic-on-sphere, linear, non-caching segment, polyline-of-segments, segment and rational function traits, together with optional curve-data, consolidated curve-data, counting and tracing wrappers. Each compiled extension contains only the surface selected by its compile-time configuration.	All fifteen representative build-tree Aos2 stubs and all fifteen wheel-packaged Aos2 stubs parsed successfully with Python 3.12. Representative stubs ranged from 1808 to 2776 lines, 42 to 97 class declarations and 313 to 520 function declarations. The wheel and build-tree Aos2 stub hashes matched within each audited variant. No current-HEAD Aos2 stub generation or current stub/runtime parity comparison was performed.	The source-tree Arrangement_on_surface_2.json documentation input has a verified size of 1399685 bytes. Current Aos2 source includes Aos2_docstrings.hpp and uses cgalpy::aos2::docstrings throughout core arrangement, DCEL, point-location and traits exporters. All fifteen representative builds contain identical generated Aos2_docstrings.hpp and Aos2_docstrings.cpp artifacts with verified hashes, but no current-HEAD compiled Aos2 module was produced during this inventory.	Maintained configurations and examples cover all ten geometry-traits families and optional data, extended DCEL, history, counting, tracing and point-location combinations. Fifteen representative preserved macOS arm64 builds each contain one extension and one wheel, and all thirty audited build-tree and wheel stubs parse successfully. Seven selected extensions imported successfully under Python 3.12 with their expected conditional Aos2 attributes and no import failure; the remaining eight extensions were not import-tested. No current-HEAD build, complete example run or stub/runtime parity run was performed.	Only one of the ten geometry-traits families is selected in each compiled library, and curve data, consolidated curve data, counting, tracing, extended DCEL records, history and point location are also compile-time choices. Current source records missing Bezier constructors and curve operations; commented segment is_in_x_range and is_in_y_range methods; incomplete rational-function constructor and arithmetic-kernel exports; missing polyline Push_back_2, Push_front_2 and Construct_curve_2 operations; disabled naive and landmarks ray-shooting methods; incomplete conic kernel and curve operations; and commented extended face or vertex data methods. It also records possible Python-object lifetime or leak concerns in extended records and a TODO for counting and tracing type composition. Preserved artifact metadata does not identify its source commit, only seven representative extensions were import-tested, and current-HEAD build and parity validation remain unverified.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
BGL	BGL		LGPL (v3 or later)	PARTIAL	Bgl	CGALPY_BGL_BINDINGS	cmake/modules/bgl_options.cmake	Registered Bgl module with a verified bgl_options configuration file, active selector and generated _bgl library-name component. The direct Bgl submodule exports property tags, while graph operations are delivered through either the Pol3 or Sm backend module. Forty-three maintained configurations enable Bgl: 21 with Polyhedron_3 and 22 with Surface_mesh; none enable Bgl without one of these backends and none combine both. Twenty-six preserved macOS arm64 detached builds contain Bgl-enabled extensions, wheels, stubs and generated docstrings, but no current-HEAD Bgl rebuild was performed and their metadata does not record a source revision.	Current bgl_bindings.cpp exports nine CGAL property-tag enum types and dynamic vertex, halfedge, face and edge property-tag classes for bool, color, double, int, Point_3, set, size_t, tuple and Vector_3 values, with four additional FT tags when FT differs from double. Polyhedron-specific graph iterators, circulators, dynamic maps and traversal operations are exposed through Pol3, while Surface_mesh descriptors, property maps, graph mutation and traversal, Euler operations, validation and mesh-generator functions are exposed through Sm. Preserved EPEC Polyhedron and Surface_mesh runtimes each expose the same 58 public Bgl names; the audited EPIC Polyhedron runtime exposes 54 and omits exactly the four FT tag classes.	Three representative build-tree Bgl stubs and their three wheel-packaged copies parse successfully with Python 3.12 and match byte-for-byte within each build. The two audited EPEC stubs are identical across Polyhedron and Surface_mesh and contain 58 public names at both stub and runtime. The audited EPIC stub contains 54 public names and differs only by omission of dynamic_vertex_FT_property_t, dynamic_halfedge_FT_property_t, dynamic_face_FT_property_t and dynamic_edge_FT_property_t. All three runtime/stub public-name comparisons matched exactly. No current-HEAD Bgl stub generation or parity check was performed.	The source-tree BGL.json documentation input has a verified size of 857893 bytes. Current Bgl, Polyhedron and Surface_mesh binding sources consume Bgl_docstrings.hpp for direct property tags and backend graph operations. The three representative builds contain identical generated Bgl_docstrings.hpp and Bgl_docstrings.cpp artifacts with verified hashes. Their integration into a current-HEAD compiled Bgl module was not verified.	Forty-three maintained CMake configurations enable Bgl, split between 21 Polyhedron_3 and 22 Surface_mesh variants. Twenty-six preserved local Bgl-enabled detached builds were found: 20 Polyhedron-only and six Surface_mesh-only. Three selected extensions imported successfully in isolated Python 3.12 processes; wheel and build-tree native extensions matched by hash, expected backend modules were present, alternative backends were absent, tested property-tag constructors succeeded and Bgl runtime/stub parity was exact. No dedicated Bgl-focused Python example, current-HEAD build, complete example run or full variant runtime sweep was verified.	The direct Bgl module primarily exposes property tags; useful graph APIs depend on a separately selected Polyhedron_3 or Surface_mesh backend, and no maintained standalone-Bgl or combined-backend configuration exists. Current source leaves multiple operations commented, disabled or intentionally omitted, including collect_garbage wrappers, Face_around_face_circulator, Surface_mesh assign, property_stats and __iadd__, face, vertex and halfedge index-map accessors, expand_face_selection and the remove_edge(vertex, vertex, graph) overload. Only three representative extensions were import-tested, preserved artifact metadata does not identify its source commit, and current-HEAD build and parity validation remain unverified.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Barycentric_coordinates_2	Barycentric_coordinates_2	Generalized Barycentric Coordinates for planar simple polygons.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Barycentric_coordinates_2.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Barycentric_coordinates_3	Barycentric_coordinates_3	3D Generalized Barycentric Coordinates for convex simplicial polytopes.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Barycentric_coordinates_3.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Basic_viewer	Basic_viewer	Basic viewer	GPL (v3 or later)	PARTIAL	Bvr	CGALPY_BASIC_VIEWER_BINDINGS	cmake/modules/basic_viewer_options.cmake	Registered Bvr module with a verified Basic_viewer configuration selector and three maintained manifest-backed configurations. CMake advertises aos2, aosWithHistory2 and polyhedron3 data-structure selectors. Current source provides usable type mappings only for aos2 and polyhedron3. Four complete preserved builds, comprising three Aos2 variants and one Polyhedron_3 variant, contain extensions, wheels, Bvr stubs and generated documentation. No fresh current-HEAD Bvr build was performed, and the preserved build metadata does not establish the exact cgal-python-bindings commit used.	Current source exports Graphics_scene_options_base, Graphics_scene_options and Graphics_scene, two add_to_graphics_scene overloads, draw_graphics_scene, thirteen graphics-buffer constants and scene inspection, clearing and buffer-copy operations. The extended options wrapper stores Python face-visibility and face-color callbacks and integrates with Python garbage collection through traverse and clear slots. Preserved Aos2 and Polyhedron_3 runtimes construct all three classes, expose the complete expected public surface, accept both add_to_graphics_scene overloads and retain and release Python callback references correctly in the tested empty-backend lifecycle.	Representative Aos2 and Polyhedron_3 Bvr stubs both parse successfully. Each contains three class declarations, three function declarations including the overloaded add_to_graphics_scene entries, thirteen assignments and eighteen unique public names. Both have exact top-level stub/runtime parity with no missing or extra public names. No aosWithHistory2 Bvr stub or compiled artifact was found.	Current source consumes the generated Bvr_docstrings.hpp header. Basic_viewer.json is present as the source documentation input and covers the principal graphics-scene, scene-options, add and draw interfaces. All four preserved Bvr builds contain identical generated Bvr_docstrings.hpp and Bvr_docstrings.cpp artifacts with verified hashes. Their integration into a fresh current-HEAD Bvr build was not verified.	Three maintained Bvr configurations have validated schema-version-1 manifests and are selectable through the generic detached build-variant runner. Preserved Aos2 and Polyhedron_3 representatives import without diagnostics, have exact stub/runtime parity, pass constructors, scene and buffer inspection, both add_to_graphics_scene overloads and callback retention and release checks. The focused aos2_visual_buffer_summary Python example constructs a non-empty arrangement, converts it to a graphics scene and is registered as a curated C++/Python stdout comparison pair. COLOR_FACES is deliberately excluded because it was observed to be nondeterministic. No fresh current-HEAD build, direct Qt viewer execution, rendered-image comparison or aosWithHistory2 runtime test was performed during this inventory.	CMake advertises the aosWithHistory2 selector and assigns it internal data-structure ID 1, but current source has no Ds_params specialization for that ID. Selecting it therefore cannot provide the required Ds and descriptor aliases. No maintained configuration, preserved cache, stub, extension or wheel covers this selector. The extended options wrapper implements edge-visibility and edge-color callback handlers, but colored_edge and edge_color are not exposed to Python; only colored_face and face_color are available. Current examples do not exercise callback invocation, the broken history selector or the direct Qt draw path. Preserved artifacts do not identify the exact bindings source commit, and no current-HEAD Bvr rebuild was performed.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Boolean_set_operations_2	Boolean_set_operations_2	Boolean operations on generalized polygons in the plane	GPL (v3 or later)	PARTIAL	Bso2	CGALPY_BOOLEAN_SET_OPERATIONS_2_BINDINGS	cmake/modules/boolean_set_operations_2_options.cmake	Registered Bso2 module with a verified boolean_set_operations_2_options configuration file, active selector and eleven maintained configurations. Ten configurations explicitly enable the required Aos2 module; pol3_bso2_epec enables Bso2 without Aos2 and produces a malformed historical distribution. Four complete preserved segment-traits builds contain extensions, wheels, Aos2 and Bso2 stubs and generated docstrings. No current-HEAD Bso2 rebuild was performed, the preserved artifact metadata does not identify the bindings source commit, and no preserved Bezier, conic or circle-segment runtime artifact was found.	Current source exports complement, do_intersect, intersection, difference, join, symmetric_difference and oriented_side, with connect_holes additionally available for segment and non-caching-segment traits. It exports Gps_on_surface_base_2, General_polygon_set_on_surface_2 and General_polygon_set_2, while the caching-segment route additionally exports Polygon_set_2 and conditional draw. Traits-specific integration uses Gps_segment_traits_2 for segment routes, general Gps_traits_2 for Bezier, conic and other generalized traits, and an additional circle-segment traits exporter for circleSegment. A healthy preserved segment runtime exposes exactly thirteen public Bso2 names, successfully constructs all four Bso2 polygon-set classes, and returns a registered Aos2.Arrangement_on_surface_2 from arrangement().	The focused healthy segment build-tree Bso2 stub parses successfully, contains four class declarations and 38 overloaded function declarations, and has exact top-level runtime parity across thirteen unique public names. Its Aos2 stub also parses and supplies the dependent Gps_segment_traits_2 and arrangement types. The malformed pol3_bso2_epec Bso2 stub parses but refers to Aos2-owned Traits_2, Geometry_traits_2 and Arrangement_2 registrations that are absent at runtime. No Bezier, conic or circle-segment Bso2 stub was located.	Current Bso2 binding sources consume Bso2_docstrings.hpp. Five preserved Bso2-enabled builds contain identical generated Bso2_docstrings.hpp and Bso2_docstrings.cpp artifacts with verified hashes, including the malformed route. Their integration into a current-HEAD Bso2 rebuild was not verified.	Eleven maintained configurations enable Bso2 and cover Bezier, conic, circleSegment and segment traits. Four preserved healthy segment builds provide complete artifacts. A focused healthy EPEC import passed with exact Bso2 stub/runtime public-name parity; all representative Aos2 and Bso2 constructors succeeded, empty arrangement methods returned coherent values, and arrangement return conversion succeeded. The malformed pol3_bso2_epec route imports but exposes Bso2 without Aos2, prints three missing-registration diagnostics and omits both module names from the extension identity. No fresh current-HEAD build, non-segment runtime validation or complete example run was performed.	The maintained pol3_bso2_epec configuration omits the required Aos2 flag. CMake adds the Bso2 definition before dependency validation, changes only the ordinary Bso2 variable to OFF inside an already-entered branch, and then still appends the Bso2 module, sources, generated documentation and stubs while omitting _bso2 from the final library name. The resulting runtime exposes Bso2 without Aos2 and lacks Geometry_traits_2, Traits_2 and Arrangement_2 registrations. Bezier, conic and circleSegment have maintained source and configuration routes but no preserved runtime validation. Only segment traits have historical runtime evidence, preserved artifacts do not identify the exact bindings commit, and no current-HEAD Bso2 build was performed.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Bounding_volumes	Bounding_volumes	Min_quadrilateral_2 ------------------- Algorithms to compute the minimum enclosing rectangle/parallelogram (arbitrary orientation) and the minimum enclosing strip of a convex point set. Min_sphere_of_spheres_d ----------------------- Algorithms for computing the smallest enclosing sphere of spheres in arbitrary dimensionMatrix_search Algorithms for searching in monotone and sorted matrices and applications: computing extremal polygons, all furthest neighbors for the vertices of a convex polygon and rectangular p-centers. Approximate_min_ellipsoid_d --------------------------- Algorithm for a (1+eps)-approximation to the minimum-volume enclosing ellipsoid of points in arbitrary dimension Min_ellipse_2 ------------- Algorithm for computing the smallest enclosing ellipse of points in the plane Min_circle_2 ------------ Algorithm for computing the smallest enclosing circle of points in the plane Min_sphere_d ------------ Algorithms for computing the smallest enclosing sphere of points in arbitrary dimension Min_annulus_d ------------- Algorithm for computing the smallest enclosing annulus of points in arbitrary dimension	GPL (v3 or later)	SOURCE-PRESENT-NOT-BUILT	Bv	CGALPY_BOUNDING_VOLUMES_BINDINGS	cmake/modules/bounding_volumes_options.cmake	registered Bv submodule; no maintained build variant	CMake registration and lib/bounding_volumes_bindings.cpp export Optimization_circle_2 and Min_circle_2.	Registered module is eligible for nanobind stub generation, but no generated Bv stub artifact was verified.	Bounding_volumes.json contains 35 compounds and source uses Bv_docstrings.hpp; no generated build-tree Bv docstring artifact was verified.	No current runner entry, CMake test, manifest, historical run script, existing build directory, or focused example found.	Only Optimization_circle_2 and Min_circle_2 are exposed from the broader documented package. Approximate ellipsoid, annulus, ellipse, sphere, sphere-of-spheres, rectangular p-center, traits, and concepts are not represented. The examples README also incorrectly classifies Bv as visual/Qt/OpenGL-oriented.		VERIFIED-SOURCE-NOT-BUILT
Box_intersection_d	Box_intersection_d	Fast intersection test between two sets of boxes.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Box_intersection_d.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
CGAL_Core	CGAL_Core	A local copy of the Core header files and Core source files	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
